Date,Temp_high,Temp_avg,Temp_low,Dew_high,Dew_avg,Dew_low,Humid_perc_high,Humid_perc_avg,Humid_perc_low,P_high_hPa,P_avg_hPa,P_low_hPa,visibility_high_km,visibility_avg_km,visibility_low_km,wind_min_kmh,wind_avg_kmh,wind_high_kmh,Precip_mm,Events
01/01/2014,-9,-10,-11,-12,-13,-14,86,82,77,1029,1026,1022,13,4,1,13,23,-,1.52,Snow
02/01/2014,-9,-13,-16,-12,-14,-21,85,78,66,1026,1020,1017,16,4,1,23,35,50,0.25,Snow
03/01/2014,-12,-17,-22,-18,-21,-24,83,66,51,1031,1028,1022,16,16,16,13,27,35,0.00,
04/01/2014,-2,-7,-12,-6,-12,-17,78,66,55,1021,1017,1013,16,16,5,18,29,42,0.00,Snow
05/01/2014,-1,-4,-7,-2,-4,-9,93,89,74,1017,1010,1000,16,3,0,6,37,50,8.13,Fog  Snow
06/01/2014,-7,-17,-26,-9,-20,-31,86,71,61,1021,1011,1001,16,6,1,32,48,69,0.00,Snow
07/01/2014,-17,-22,-26,-23,-27,-31,72,65,57,1029,1025,1021,16,16,14,21,34,48,0.00,
08/01/2014,-9,-18,-27,-15,-22,-29,91,78,64,1034,1030,1026,16,15,11,6,14,-,0.00,
09/01/2014,-6,-16,-26,-7,-14,-28,100,84,68,1037,1031,1026,16,9,2,3,11,-,0.25,Snow
10/01/2014,3,-2,-6,3,-1,-7,100,95,86,1025,1017,1005,10,4,0,5,16,27,8.13,Fog  Rain  Snow
11/01/2014,5,3,1,4,2,-3,100,94,75,1004,999,993,16,7,0,14,35,47,3.56,Fog  Rain
12/01/2014,2,1,0,-1,-3,-4,85,78,72,1014,1010,1005,16,16,11,21,27,37,0.00,
13/01/2014,6,3,1,2,0,-2,96,79,70,1008,1004,1002,16,16,10,14,21,-,0.00,
14/01/2014,2,-2,-7,-1,-4,-8,93,77,61,1009,1007,1005,16,12,4,14,42,63,0.00,Snow
15/01/2014,-2,-5,-8,-7,-8,-12,81,72,60,1016,1012,1007,16,13,4,24,35,52,0.00,Snow
16/01/2014,-3,-5,-7,-4,-7,-12,93,84,68,1014,1006,1003,16,7,0,19,27,39,0.51,Fog  Snow
17/01/2014,-2,-6,-9,-4,-7,-13,93,79,67,1014,1008,1002,16,12,2,13,26,34,0.25,Snow
18/01/2014,-8,-12,-16,-11,-13,-18,92,81,73,1015,1013,1010,16,12,3,10,19,-,0.00,Snow
19/01/2014,-2,-7,-11,-6,-9,-12,88,78,69,1009,1005,1001,16,14,6,14,39,52,0.00,Snow
20/01/2014,-1,-6,-11,-3,-9,-15,93,78,60,1019,1010,999,16,10,2,14,29,39,0.00,Snow
21/01/2014,-11,-17,-25,-15,-21,-27,86,61,51,1024,1021,1016,16,16,8,18,26,32,0.00,Snow
22/01/2014,-12,-20,-27,-14,-18,-29,88,78,60,1024,1016,1013,16,6,1,10,21,29,0.00,Snow
23/01/2014,-10,-17,-24,-16,-18,-26,87,74,57,1033,1024,1013,16,13,4,10,21,34,0.00,Snow
24/01/2014,-8,-16,-23,-12,-18,-27,86,74,61,1032,1015,1001,16,10,3,18,39,63,0.00,Snow
25/01/2014,-3,-10,-18,-6,-11,-21,89,76,49,1009,996,992,16,5,1,26,37,52,0.00,Fog  Snow
26/01/2014,-3,-12,-21,-4,-14,-23,93,79,71,1009,1001,995,16,7,1,11,35,48,0.51,Fog  Snow
27/01/2014,-5,-14,-23,-7,-17,-26,86,71,55,1028,1014,995,16,6,0,23,35,48,0.25,Fog  Snow
